name,st_id,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
曙橋,532,0,0,0,0,0,0,0,0,0,0,0,44,16,43,43,0,83,0,0,351,187,0,197,0,14,209,45,141,45,0,0,0,62,0,68,26,26,149,149,0,68,68,0,30,0,0,0,0,0,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
小川町,533,556,0,111,0,578,36,160,784,782,347,0,220,1056,99,0,296,240,30,134,23,0,104,31,0,190,483,407,354,38,62,121,143,360,114,438,518,114,239,254,389,456,272,316,351,480,250,642,479,256,578,658,603,391,269,38,158,190,124,22,24,53,15,0,211,111,122,0,23,97,0,82,0,37,315
岩本町,534,0,0,0,0,0,0,0,0,0,0,46,65,0,214,132,11,279,333,261,50,218,84,42,261,119,419,90,24,190,116,51,194,113,78,0,24,36,108,0,19,0,0,163,136,343,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
馬喰横山,535,0,0,0,0,0,0,27,0,0,39,50,25,0,0,0,204,1554,125,92,91,173,128,252,562,260,257,219,357,370,196,705,926,301,542,483,280,138,72,15,66,221,0,31,0,186,161,20,0,149,22,0,0,108,34,31,0,0,0,0,0,0,0,0,36,36,0,0,20,0,0,0,0,0,1312
浜町,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,37,37,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
森下,537,16,16,0,41,0,0,0,0,63,27,150,462,0,281,102,69,141,311,365,217,189,105,292,361,598,987,1051,821,970,664,666,696,229,679,946,0,760,105,18,0,111,334,0,0,11,52,38,0,0,0,20,20,142,0,0,272,0,0,0,192,192,0,0,0,0,0,0,0,0,0,0,0,0,68
菊川,538,0,0,0,0,0,0,0,0,0,0,0,0,321,321,0,0,0,147,183,22,124,137,52,168,0,237,74,46,30,129,155,71,0,129,93,0,0,150,150,0,0,0,0,38,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
西大島,539,91,0,0,0,0,0,99,99,0,735,772,0,191,296,46,84,109,271,280,225,213,78,471,415,175,17,0,146,129,56,152,96,47,91,0,17,22,379,379,26,26,50,96,55,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
大島,540,0,0,0,0,16,0,40,0,54,0,0,0,77,0,77,177,176,225,401,553,1226,134,408,123,543,337,315,45,516,595,465,100,0,82,32,17,214,46,62,0,118,0,0,0,17,17,24,0,0,0,0,97,97,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
東大島,541,52,18,0,13,50,37,98,0,22,160,160,47,642,642,675,122,309,362,397,167,512,548,716,390,405,605,480,498,157,428,194,280,723,494,127,114,133,74,21,80,0,32,70,0,0,24,0,0,0,199,0,150,150,16,0,0,0,0,0,0,0,565,510,0,0,0,0,0,0,17,0,0,0,290
船堀,542,43,27,0,0,27,0,0,133,24,735,0,664,244,280,0,481,230,321,411,1251,568,955,813,434,418,1013,481,416,920,749,323,674,321,0,427,303,717,121,234,0,0,235,498,1324,1129,38,0,0,155,45,0,30,0,43,0,59,0,255,0,0,0,29,0,49,0,0,0,0,0,0,0,32,0,170
一之江,543,57,32,19,19,0,81,0,113,1755,1782,374,307,626,84,530,1076,348,88,37,928,176,552,520,445,327,1098,964,529,1134,792,273,0,132,619,38,33,65,31,35,0,0,0,33,54,16,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329
瑞江,544,100,0,0,0,63,16,14,14,376,0,63,30,189,0,631,532,444,595,245,405,481,616,971,300,829,1032,901,2063,479,453,345,593,268,64,220,0,587,454,235,56,0,0,0,60,167,36,92,0,0,0,391,77,0,0,0,53,0,0,0,39,39,0,0,0,0,0,59,0,0,0,0,0,0,82
篠崎,545,0,0,0,0,0,0,208,0,0,93,163,163,1083,226,0,518,155,512,567,338,997,380,261,484,481,156,448,497,50,276,0,25,38,76,436,0,0,52,131,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
三ノ輪橋,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒川一中前,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒川区役所前,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒川二丁目,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
