name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
四ツ木,238,382,52,17,440,679,765,1774,1002,872,496,327,266,434,169,0,35,316,0,0,0,0,48,16,0,0,78
京成立石,239,72,72,78,293,351,462,727,615,907,1057,869,254,175,89,248,104,79,19,100,18,36,19,58,0,0,599
柴又,240,0,163,0,0,162,740,604,1375,231,119,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,130
京成金町,241,0,0,57,121,532,461,1072,423,568,605,424,195,110,0,79,24,0,0,0,0,0,0,0,593,0,0
笹塚,242,122,122,124,270,870,2152,2536,3745,5557,5445,4591,3537,3636,3056,2188,1383,976,781,384,299,87,389,203,161,36,2246
代田橋,243,54,0,0,33,55,170,352,341,598,1011,507,227,607,53,38,101,145,0,0,31,0,50,0,0,0,0
明大前,244,246,121,228,815,2240,3411,6586,9346,10510,9730,8893,6624,4036,2524,2146,2343,2146,2369,1910,465,753,445,614,1636,966,3604
下高井戸,245,0,0,63,105,239,450,2122,1643,2301,1004,1082,893,579,549,525,431,344,112,89,161,17,52,237,17,45,490
桜上水,246,111,14,0,415,621,833,1073,1641,2115,1562,894,647,467,431,354,392,265,165,251,0,0,0,0,0,78,376
上北沢,247,57,0,0,207,243,368,359,486,392,893,417,422,324,70,23,0,0,0,24,24,0,0,0,0,21,35
八幡山,248,18,0,0,173,223,328,498,622,1020,1800,639,571,141,350,154,556,0,0,22,30,0,29,0,17,0,71
芦花公園,249,16,0,25,126,245,470,467,506,479,750,265,258,252,160,116,27,37,54,11,46,0,0,24,24,0,60
千歳烏山,250,73,109,243,506,1027,1804,2520,2783,3432,3563,2357,1919,1140,655,548,50,156,404,11,65,67,74,28,317,225,444
仙川,251,0,0,94,145,452,1372,2309,1211,2191,1053,802,959,283,564,242,215,275,90,122,35,0,36,0,0,403,698
つつじケ丘,252,182,82,249,537,1186,3575,4198,4772,3563,2855,2885,2667,845,827,487,558,343,349,57,0,0,93,15,100,336,849
柴崎,253,14,11,44,371,354,1087,509,872,481,339,783,443,367,108,278,89,14,0,0,0,21,0,116,0,44,334
国領,254,127,36,235,293,1042,1207,1032,2342,1996,733,628,723,254,147,387,0,0,53,0,20,0,88,100,0,46,61
布田,255,0,0,89,70,394,205,510,278,406,893,204,0,33,0,212,0,0,0,0,0,0,0,0,0,0,133
調布,256,270,132,805,2519,3815,8058,10047,11400,12344,9793,9108,4657,3505,2728,2111,1232,1518,2551,1353,663,484,261,477,343,764,3401
西調布,257,83,39,148,262,285,764,699,574,279,1019,135,789,170,96,15,94,71,160,0,0,0,13,0,0,0,21
飛田給,258,0,37,0,195,438,168,780,493,304,330,245,196,131,19,133,67,28,28,0,0,114,0,38,0,0,82
武蔵野台,259,20,56,57,351,134,365,1256,1140,482,390,792,433,368,116,101,13,0,214,0,54,0,0,0,0,0,0
多磨霊園,260,0,37,185,185,295,163,518,672,1169,81,134,37,59,171,171,75,0,0,0,0,157,0,0,0,0,0
東府中,261,117,0,173,473,298,784,553,983,582,873,573,113,216,282,18,0,0,65,0,0,0,0,0,0,0,0
府中,262,56,83,345,1091,1099,960,1973,1977,3924,3701,1003,484,292,484,259,187,199,90,240,52,13,166,40,27,23,459
中河原,263,0,17,80,470,1063,450,710,1608,1061,504,504,228,423,92,85,43,88,0,0,0,45,0,0,0,17,603
聖蹟桜ケ丘,264,33,142,369,603,1167,3279,2109,1208,2046,2116,791,657,245,255,180,380,224,37,0,0,87,0,0,0,0,632
百草園,265,69,14,134,160,320,205,564,225,124,853,337,36,74,92,54,35,0,0,0,0,0,0,28,0,0,108
高幡不動,266,25,112,339,588,1149,2189,2809,2651,2748,1861,1239,1068,936,661,1225,278,226,96,277,1886,600,423,181,194,199,758
南平,267,9,64,45,97,293,287,323,859,257,124,29,144,96,0,0,0,0,0,0,60,60,0,0,0,0,192
平山城址公園,268,33,92,219,197,124,230,149,125,68,260,128,18,301,20,72,21,129,27,0,0,0,0,0,0,0,256
長沼,269,19,126,16,38,88,324,51,137,155,26,43,43,9,271,262,0,0,0,0,21,0,0,0,0,0,0
北野,270,22,351,582,1502,1696,2812,3946,3469,2497,3679,3642,2424,614,647,842,592,380,847,103,457,297,125,190,65,0,300
京王八王子,271,60,77,141,1563,998,1368,339,1019,1120,432,530,1033,285,0,329,287,0,31,31,0,0,0,0,0,54,255
初台,272,50,0,50,74,87,362,660,1760,657,531,422,482,102,245,459,184,307,203,279,0,0,0,0,0,47,50
幡ケ谷,273,49,0,0,136,144,749,592,1315,574,416,622,489,335,344,47,0,0,0,231,0,137,0,731,0,0,61
京王多摩川,274,0,38,72,43,96,409,800,633,639,506,191,21,79,99,29,0,17,83,103,0,0,0,0,0,0,94
京王よみうりランド,275,0,38,61,57,156,133,317,623,257,18,216,244,2,150,58,0,163,26,0,21,0,0,0,0,0,124
稲城,276,0,0,103,174,636,776,1741,899,413,554,659,33,148,84,14,0,0,0,0,0,0,0,0,0,131,68
京王永山,277,110,126,194,618,1444,1121,621,984,2784,1756,826,635,391,222,154,41,54,20,0,156,150,0,0,19,0,434
京王多摩センター,278,69,37,140,738,805,1184,959,2073,1193,1217,578,1111,355,274,258,93,184,16,53,382,16,16,23,27,149,246
京王堀之内,279,105,94,206,730,1271,882,687,1344,1466,271,541,156,228,107,0,0,128,35,0,0,16,16,87,0,0,108
南大沢,280,192,188,262,747,1189,1479,1947,1565,973,1510,1127,1206,255,148,650,59,60,175,63,13,9,16,0,0,70,324
多摩境,281,94,0,158,318,327,398,432,333,270,393,262,120,0,307,134,23,251,251,0,0,0,0,0,0,0,106
府中競馬正門前,282,0,0,0,41,0,28,42,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
多摩動物公園,283,0,0,20,39,59,133,28,32,16,88,35,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
京王片倉,284,0,16,62,107,69,42,190,135,163,0,401,12,0,0,88,0,17,0,0,0,0,0,0,0,0,0
山田,285,0,38,6,152,61,191,203,0,90,38,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
めじろ台,286,0,94,455,392,1007,460,1912,724,946,188,251,21,50,180,0,29,0,0,0,0,0,0,0,0,0,16
狭間,287,0,0,131,84,230,482,85,97,135,66,320,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高尾山口,288,0,0,37,28,0,188,0,217,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神泉,289,0,0,0,0,0,0,0,175,245,207,66,66,66,177,31,0,0,0,0,0,0,0,0,0,0,0
駒場東大前,290,0,18,0,20,89,400,200,239,247,531,288,445,164,95,243,48,0,36,0,0,0,0,0,0,0,196
池ノ上,291,0,0,0,0,49,136,288,387,241,320,223,94,274,178,81,81,23,22,0,23,0,0,0,0,0,0
下北沢,292,107,50,354,571,2301,3746,6561,6820,8188,8822,7525,7024,3736,2944,2252,1577,2908,1186,1249,248,218,134,0,1362,1408,2240
新代田,293,0,44,44,0,126,168,58,331,340,591,379,446,201,30,88,22,38,83,0,0,0,0,0,0,0,22
東松原,294,21,44,80,0,270,202,525,711,797,529,668,480,750,378,125,87,62,126,0,46,0,0,0,0,0,22
永福町,295,37,29,69,0,601,933,868,915,1276,1056,955,919,389,651,358,44,182,269,419,188,37,0,0,146,0,377
西永福,296,21,32,0,347,573,559,578,674,628,851,769,652,365,487,239,127,351,270,39,0,49,0,0,204,22,36
浜田山,297,0,0,0,193,525,943,1254,1345,1020,1122,890,758,511,393,222,63,21,59,32,54,61,61,0,0,0,54
高井戸,298,59,74,126,74,539,761,2655,1618,2424,1609,870,596,917,872,134,43,32,414,0,0,0,48,0,0,197,230
富士見ケ丘,299,0,0,39,59,352,602,1406,1333,1256,843,767,460,363,21,77,54,0,42,0,0,140,0,0,28,97,237
