name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
越中島,17,253,3,0,0,23,37,26,58,79,100,93,66,33,28,18,7,13,28,2,1,3,1,0,0,0,0,8
潮見,18,600,4,1,1,24,38,26,59,79,100,93,66,34,28,19,8,14,28,3,2,4,2,1,0,0,1,9
新木場,19,6056,1,1,5,17,8,20,39,58,95,88,100,86,78,39,33,16,7,5,4,1,0,2,0,1,6,29
葛西臨海公園,20,607,3,0,0,23,38,26,58,79,100,93,66,33,28,18,7,14,28,2,1,3,1,0,0,0,0,8
府中本町,21,3772,3,7,15,5,22,35,63,100,65,65,68,37,38,22,15,6,17,11,1,8,3,21,0,4,2,18
北府中,22,649,2,2,12,18,15,55,79,77,65,100,90,37,20,15,10,6,4,15,2,2,4,4,5,0,2,14
西国分寺,23,8165,0,2,8,10,22,47,65,100,91,99,78,69,41,20,24,7,12,21,17,7,2,2,3,0,3,36
新小平,24,488,1,1,11,18,15,55,79,77,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
新秋津,25,4266,4,5,2,12,24,55,73,96,100,54,39,38,20,17,6,13,13,0,3,0,9,3,0,0,0,27
綾瀬,26,18086,5,3,6,21,34,52,74,100,93,70,47,31,33,17,11,13,10,5,12,4,4,4,1,2,1,5
亀有,27,2872,4,4,0,17,20,45,83,100,71,70,26,38,17,5,3,6,6,0,20,0,2,14,0,24,3,0
金町,28,4533,13,4,4,12,54,29,100,61,56,58,40,33,11,13,8,12,16,0,7,0,18,1,3,4,2,4
八王子,29,9078,1,5,7,10,33,50,66,75,100,44,76,47,17,12,16,18,10,9,11,4,0,1,2,0,2,16
北八王子,30,436,0,4,6,9,33,50,66,75,100,44,76,47,16,11,15,17,9,8,11,3,0,0,1,0,1,15
小宮,31,137,0,4,6,9,32,49,65,75,100,43,75,46,16,11,16,17,9,8,10,3,0,0,1,0,1,16
拝島,32,9056,0,1,6,27,29,51,100,32,36,16,22,1,14,10,5,7,1,3,0,0,3,1,1,0,2,7
東福生,33,45,0,4,6,8,31,48,64,73,100,42,75,46,15,11,15,17,8,8,8,2,0,0,0,0,0,15
箱根ケ崎,34,202,0,4,6,9,32,50,65,75,100,44,76,47,16,11,15,17,9,8,10,3,0,0,1,0,1,15
西大井,35,691,2,0,3,7,18,26,58,96,100,95,72,53,27,18,8,11,9,2,2,3,2,2,2,0,0,24
大崎,36,8048,1,1,1,0,5,6,37,40,70,84,100,73,43,35,19,17,5,7,2,1,4,1,0,1,0,16
恵比寿,37,8016,0,1,0,2,4,16,42,46,51,72,100,57,57,46,22,19,14,5,4,1,0,3,0,4,1,5
渋谷,38,66123,1,1,1,5,13,32,53,83,95,100,96,77,52,43,28,20,16,16,12,7,4,4,3,2,2,27
新宿,39,95968,1,1,2,5,16,32,55,88,98,100,93,74,56,40,36,26,20,18,12,7,5,4,3,5,3,23
池袋,40,88273,1,1,2,6,15,31,49,78,97,100,80,62,48,32,24,17,12,13,11,8,3,3,4,2,1,21
板橋,41,3443,0,0,1,47,10,18,22,41,100,40,34,28,19,4,13,6,0,0,0,8,0,0,0,0,5,14
十条,42,1596,0,0,6,7,21,28,59,94,100,89,69,47,27,21,17,13,19,10,3,0,2,2,0,0,0,11
北赤羽,43,2115,0,0,20,23,10,32,20,100,91,67,42,18,6,4,4,16,0,28,0,0,0,8,8,0,0,2
浮間舟渡,44,952,0,0,6,7,21,27,59,94,100,90,69,48,26,21,17,13,19,9,3,0,2,2,0,0,0,11
神田,45,5553,0,0,1,6,7,35,35,45,65,100,92,54,41,41,16,16,17,1,5,7,1,0,1,11,0,18
御茶ノ水,46,14825,2,1,0,2,11,23,46,54,73,92,100,72,55,42,32,20,12,15,9,3,9,4,4,1,1,33
水道橋,47,5989,3,0,1,1,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,2,0,0,0,2,15
飯田橋,48,13216,0,0,0,5,7,26,31,83,100,69,58,54,42,39,24,16,9,15,6,7,3,1,0,1,2,34
市ケ谷,49,2429,1,1,0,0,10,55,52,42,54,90,73,100,72,43,22,16,9,16,0,36,20,1,0,2,1,10
四ツ谷,50,7858,1,0,0,0,6,24,30,52,51,90,96,100,86,51,25,16,16,13,24,12,9,2,3,1,0,15
信濃町,51,1192,3,0,1,1,5,13,29,54,59,84,100,84,54,41,23,14,8,14,7,4,2,0,0,0,2,15
千駄ケ谷,52,784,2,0,0,0,5,13,29,53,59,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
代々木,53,4370,1,3,3,4,5,23,27,43,100,73,66,72,66,47,30,50,19,9,13,7,2,2,4,4,0,9
大久保,54,1306,2,0,0,0,5,13,29,53,59,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
東中野,55,3080,1,0,0,6,3,11,39,75,100,55,77,99,45,24,7,20,12,7,1,8,1,1,1,0,0,15
中野,56,9742,1,0,5,13,23,47,62,44,85,100,86,59,53,24,23,26,22,13,4,13,1,1,2,3,1,25
高円寺,57,4303,2,0,3,5,8,10,23,100,69,56,78,47,25,28,27,18,15,17,5,0,0,1,1,0,0,9
阿佐ケ谷,58,3816,2,2,3,3,26,26,59,52,91,81,96,100,47,35,25,16,11,19,3,2,0,1,3,2,0,26
荻窪,59,10205,1,1,0,8,19,40,67,100,86,56,54,31,36,29,25,10,18,12,5,9,0,1,0,0,2,17
西荻窪,60,3712,0,4,1,6,32,47,67,92,100,74,79,63,35,41,15,21,9,14,12,14,2,1,0,0,0,18
吉祥寺,61,12574,1,0,6,5,19,33,65,100,93,73,72,46,26,22,18,12,7,10,13,2,1,3,1,4,0,24
三鷹,62,10738,0,1,3,10,35,33,58,83,100,68,46,33,26,13,6,6,5,7,9,1,1,4,1,0,3,19
武蔵境,63,6536,2,3,5,14,30,26,62,100,68,82,64,51,18,31,20,7,8,5,12,1,2,2,4,0,5,6
東小金井,64,2561,0,3,9,29,31,49,100,75,67,54,48,33,24,31,14,0,13,32,3,1,0,1,0,26,0,23
武蔵小金井,65,5093,0,3,12,34,28,56,58,68,100,65,51,44,23,18,14,7,8,41,10,1,2,2,0,0,0,18
国分寺,66,12139,2,2,12,19,16,56,79,77,65,100,91,38,21,16,11,7,5,16,3,2,5,5,6,0,3,15
国立,67,3641,5,12,10,17,39,89,90,97,69,100,58,23,30,14,7,14,5,5,7,8,4,6,7,0,7,38
立川,68,16712,1,4,17,21,45,74,96,100,87,80,61,30,23,15,14,9,9,15,6,1,6,3,0,2,5,25
日野,69,1866,4,5,44,51,43,41,45,100,54,58,34,27,0,33,3,3,3,1,3,2,0,9,6,0,1,15
豊田,70,2525,2,15,6,23,38,23,99,100,74,28,26,26,15,5,12,20,14,14,28,0,0,0,13,0,0,15
西八王子,71,3098,2,11,23,19,24,100,47,63,52,29,51,29,11,0,1,9,7,0,0,0,0,0,0,3,0,11
高尾,72,3688,7,17,21,39,56,43,58,61,54,33,43,100,23,3,16,8,4,24,12,2,7,0,0,0,0,4
両国,73,3329,3,1,1,24,37,25,59,79,100,93,65,33,29,19,7,13,27,3,1,3,1,1,0,0,1,9
浅草橋,74,2841,3,0,4,3,17,34,40,100,96,77,64,68,26,45,12,7,5,5,4,1,0,2,0,0,18,22
秋葉原,75,35173,3,1,2,8,16,36,45,61,74,100,89,63,47,40,24,17,8,14,3,5,3,1,4,1,0,18
西立川,76,308,0,4,6,9,32,50,65,75,100,43,75,47,16,12,15,17,9,8,10,3,0,0,1,0,1,15
東中神,77,324,0,4,6,9,33,50,66,75,100,43,76,46,16,12,15,17,9,8,10,3,0,0,1,0,1,15
中神,78,515,0,4,6,9,33,49,66,74,100,43,76,46,16,11,15,17,9,8,10,3,0,0,1,0,1,15
昭島,79,1506,2,24,23,68,97,93,72,91,100,90,35,6,22,42,27,5,11,2,0,0,0,0,0,1,0,5
牛浜,80,207,0,4,6,9,32,49,66,74,100,43,75,46,16,11,15,17,9,8,10,3,0,0,1,0,1,15
福生,81,3013,0,10,1,13,13,27,70,33,20,56,18,0,0,2,100,0,0,4,0,0,0,0,0,0,0,0
羽村,82,2006,4,6,7,43,22,42,40,29,100,85,0,66,6,0,0,48,48,0,0,6,0,0,0,0,0,31
小作,83,736,0,4,6,9,33,50,66,75,100,44,76,47,16,11,15,17,9,8,11,3,0,0,1,0,1,15
河辺,84,616,0,4,6,9,32,50,65,75,100,43,75,46,16,12,15,18,9,8,10,3,0,0,1,0,1,15
東青梅,85,296,0,4,6,9,32,50,65,75,100,43,76,46,16,11,15,17,9,8,10,3,0,0,1,0,1,15
青梅,86,293,0,4,6,9,32,49,65,75,100,44,76,47,16,11,15,17,9,8,10,3,0,0,1,0,1,15
宮ノ平,87,45,0,4,6,8,31,48,64,73,100,42,75,46,15,11,15,17,8,8,8,2,0,0,0,0,0,15
日向和田,88,45,0,4,6,8,31,48,64,73,100,42,75,46,15,11,15,17,8,8,8,2,0,0,0,0,0,15
石神前,89,45,0,4,6,8,31,48,64,73,100,42,75,46,15,11,15,17,8,8,8,2,0,0,0,0,0,15
二俣尾,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
軍畑,91,45,0,4,6,8,31,48,64,73,100,42,75,46,15,11,15,17,8,8,8,2,0,0,0,0,0,15
沢井,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
御嶽,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川井,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
古里,95,45,0,4,6,8,31,48,64,73,100,42,75,46,15,11,15,17,8,8,8,2,0,0,0,0,0,15
鳩ノ巣,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白丸,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奥多摩,98,42,0,4,4,9,30,50,64,73,100,42,76,45,16,11,14,16,9,7,9,2,0,0,0,0,0,14
熊川,99,45,0,4,6,8,31,48,64,73,100,42,75,46,15,11,15,17,8,8,8,2,0,0,0,0,0,15
東秋留,100,213,0,4,6,9,32,49,65,75,100,43,76,46,16,11,15,17,9,8,10,3,0,0,1,0,1,15
秋川,101,302,0,4,6,9,32,50,65,74,100,44,75,47,16,11,15,17,9,8,10,3,0,0,1,0,1,15
武蔵引田,102,140,0,5,6,10,32,50,65,75,100,43,75,46,16,11,15,17,10,8,10,3,0,0,1,0,1,15
武蔵増戸,103,116,0,4,6,9,32,50,66,75,100,43,75,46,16,12,15,18,9,8,10,3,0,0,1,0,1,15
武蔵五日市,104,197,1,4,6,9,32,49,65,75,100,44,76,47,16,11,15,17,9,8,10,3,0,1,2,0,2,15
品川,105,40373,0,2,1,3,10,19,32,59,67,100,77,63,39,33,23,13,7,5,5,3,2,2,2,1,1,12
田町,106,7103,3,0,0,0,5,13,30,54,60,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
浜松町,107,4626,4,5,15,12,38,32,42,71,73,100,78,83,36,40,28,15,10,8,1,2,0,17,6,2,0,26
新橋,108,14814,0,2,3,7,7,18,32,42,73,100,84,81,65,40,25,18,10,6,9,7,3,3,0,1,0,6
有楽町,109,8761,1,1,3,7,13,23,44,69,84,100,93,78,58,40,26,16,15,7,4,5,1,2,0,0,0,9
御徒町,110,3204,2,0,0,0,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
鶯谷,111,1187,2,0,0,0,5,12,29,54,59,85,100,85,54,41,24,14,8,13,7,4,1,0,0,0,1,15
西日暮里,112,9601,4,0,4,5,9,27,34,67,59,87,100,57,46,25,24,26,10,3,4,7,2,7,1,1,1,9
田端,113,6707,5,0,1,3,11,48,72,86,71,100,69,41,34,35,18,6,2,3,7,2,1,1,0,0,1,30
駒込,114,2583,6,0,2,8,19,32,45,69,73,100,93,88,51,19,34,21,9,13,3,5,0,0,7,0,0,33
巣鴨,115,4667,0,0,1,5,23,68,73,83,64,100,98,69,34,18,15,16,6,10,12,28,10,2,2,10,3,32
大塚,116,2201,4,3,1,19,13,12,28,37,63,100,99,85,53,11,8,23,13,14,12,1,0,14,4,3,0,11
目白,117,2075,1,1,2,3,10,14,34,52,100,52,64,47,38,32,48,14,14,24,2,8,1,1,0,0,1,17
高田馬場,118,22898,1,1,4,7,18,35,61,76,86,100,74,49,39,22,18,9,8,10,9,8,4,1,2,5,2,18
新大久保,119,2336,2,0,0,0,5,13,30,54,60,84,100,84,54,41,24,14,8,13,7,4,2,0,0,0,2,15
原宿,120,3422,3,0,0,0,5,13,29,54,59,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
目黒,121,9605,3,1,2,7,15,38,50,70,62,100,92,72,48,39,35,26,13,11,7,8,8,0,1,6,0,17
五反田,122,9760,2,0,1,2,7,13,29,48,100,70,74,59,30,26,20,18,4,2,3,4,1,3,0,0,0,30
東十条,123,1948,4,0,14,45,16,34,41,98,53,100,86,8,36,24,13,11,0,0,7,19,0,0,0,0,0,5
王子,124,6215,1,1,2,9,28,28,66,62,76,100,72,72,31,14,4,8,3,4,4,1,0,0,0,5,0,21
上中里,125,346,0,0,6,7,21,28,58,94,100,90,69,47,26,21,17,13,19,9,3,0,2,2,0,0,0,11
大井町,126,9335,4,0,4,6,22,50,64,69,84,100,98,75,50,36,33,18,7,3,7,6,0,0,4,3,0,23
大森,127,4470,7,3,9,17,30,57,81,58,92,93,100,50,57,28,25,22,8,8,2,1,0,2,6,0,0,16
蒲田,128,12745,2,1,4,8,19,26,58,96,100,95,72,54,28,19,9,12,10,2,2,4,2,2,2,1,1,25
矢野口,129,437,1,1,11,18,15,55,78,76,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
稲城長沼,130,343,1,1,11,18,16,55,79,76,65,100,90,37,20,16,10,6,4,16,2,1,4,4,5,0,2,14
南多摩,131,288,1,1,11,18,15,55,78,77,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
分倍河原,132,5957,2,0,4,7,19,38,58,100,75,32,53,12,21,29,7,7,7,7,4,2,2,6,2,1,0,7
西府,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
谷保,134,443,1,1,11,18,16,55,79,76,65,100,90,37,20,16,10,6,4,16,2,1,4,4,5,0,2,14
矢川,135,354,1,1,11,18,15,55,79,77,64,100,90,37,20,15,11,6,4,15,2,1,4,4,5,0,2,14
西国立,136,433,1,1,12,18,15,55,78,76,64,100,90,37,21,15,10,6,4,15,3,1,4,4,5,0,3,14
成瀬,137,815,1,1,12,19,15,55,79,77,64,100,91,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
町田,138,12213,2,7,15,22,50,58,77,100,82,67,55,29,31,9,15,20,7,10,10,2,6,1,3,6,4,30
相原,139,451,1,1,11,18,15,55,78,76,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
八王子みなみ野,140,846,0,4,6,9,32,50,65,74,100,43,76,46,16,11,15,17,9,8,10,3,0,0,2,0,2,15
片倉,141,235,0,4,6,9,32,49,65,75,100,43,76,46,17,11,15,17,9,8,10,3,0,0,1,0,1,15
浅草,142,3846,1,4,5,5,21,29,26,31,51,100,36,31,18,7,13,5,13,3,0,0,0,0,0,0,0,19
とうきょうスカイツリー,143,761,3,0,0,23,37,26,59,78,100,93,65,33,29,18,7,13,27,3,1,3,1,0,0,0,0,8
曳舟,144,1585,0,0,1,5,19,52,53,60,90,100,86,36,34,30,17,0,12,5,0,1,0,1,1,3,5,37
東向島,145,866,3,0,0,23,37,25,59,78,100,92,65,33,28,18,7,13,27,3,1,3,1,0,0,0,0,9
鐘ケ淵,146,571,3,0,0,23,38,25,59,78,100,92,65,33,28,18,7,13,27,2,1,3,1,0,0,0,0,8
堀切,147,197,3,1,1,23,38,25,58,79,100,93,65,34,28,18,7,13,27,3,1,3,1,1,0,0,1,8
牛田,148,1013,3,0,0,23,38,25,59,78,100,92,65,33,29,18,7,13,27,2,1,3,1,0,0,0,0,8
小菅,149,265,3,0,0,23,38,26,58,79,100,93,66,33,29,18,7,13,27,3,1,3,1,0,0,0,0,9
五反野,150,2103,9,2,15,27,19,30,100,97,70,58,47,25,16,12,5,1,6,5,0,0,0,0,2,0,0,21
梅島,151,1565,3,1,1,23,37,25,58,79,100,93,66,33,29,18,7,13,27,3,1,3,1,1,0,0,1,9
西新井,152,4281,6,3,9,28,48,60,93,100,96,60,48,24,23,11,13,16,11,4,0,1,0,2,0,0,5,9
竹ノ塚,153,3800,14,10,6,36,37,100,87,56,84,57,65,19,14,14,2,4,1,6,6,1,0,1,0,0,6,3
押上,154,14339,6,2,3,11,21,46,41,86,87,94,100,60,35,40,16,12,12,3,2,1,1,1,0,0,0,24
小村井,155,511,3,0,0,23,37,26,59,79,100,93,65,34,28,18,7,13,27,2,1,3,1,0,0,0,0,9
東あずま,156,358,3,0,0,24,37,25,58,79,100,93,65,33,29,18,7,13,27,2,1,3,1,0,0,0,0,8
亀戸水神,157,187,3,0,0,24,37,25,58,79,100,93,66,33,28,18,8,13,27,2,1,3,1,0,0,0,0,8
大師前,158,624,3,0,0,23,37,25,58,79,100,93,66,33,29,18,7,13,27,2,1,3,1,0,0,0,0,8
北池袋,159,458,2,0,0,0,5,12,29,53,60,84,100,84,55,41,24,14,8,13,7,4,1,0,0,0,1,15
下板橋,160,741,2,0,0,0,5,12,29,53,59,84,100,84,54,41,24,14,8,13,7,4,1,0,0,0,1,15
大山,161,2056,1,0,2,6,9,30,23,60,37,100,62,54,39,11,13,1,5,8,8,2,2,0,1,1,2,22
中板橋,162,1253,0,0,6,7,21,28,59,94,100,89,69,47,26,21,17,13,19,9,3,0,2,2,0,0,0,11
ときわ台,163,2186,3,2,1,19,39,47,54,87,100,78,59,30,21,22,24,1,3,10,12,3,0,3,4,1,0,14
上板橋,164,2695,4,0,11,14,18,55,69,100,48,42,63,36,18,9,7,5,8,4,12,4,4,3,0,2,0,16
東武練馬,165,2285,16,2,1,23,12,62,95,100,68,83,49,39,31,17,4,0,8,2,0,1,0,0,0,0,0,5
下赤塚,166,706,0,0,6,7,21,28,59,94,100,89,69,48,27,21,17,14,19,9,3,0,2,2,0,0,0,11
成増,167,2831,0,2,5,10,43,53,100,87,84,75,33,47,21,25,18,10,14,0,9,1,0,1,4,5,17,50
椎名町,168,941,2,0,0,0,5,12,29,53,59,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
東長崎,169,1272,2,0,0,0,5,12,29,54,59,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
江古田,170,1463,0,0,6,7,21,28,59,94,100,90,69,47,26,21,17,14,19,9,3,0,2,2,0,0,0,11
桜台,171,649,0,0,6,7,21,27,59,93,100,89,69,47,26,21,17,13,19,10,3,0,2,2,0,0,0,12
練馬,172,7364,1,1,7,8,22,28,59,94,100,90,70,48,27,22,18,14,20,10,4,1,3,3,1,0,1,12
中村橋,173,1752,0,0,6,7,21,28,59,94,100,89,69,48,26,21,17,13,19,9,3,0,2,2,0,0,0,11
富士見台,174,1619,0,0,3,54,39,100,63,61,99,27,13,27,10,8,6,13,74,2,7,3,0,2,4,5,0,2
練馬高野台,175,1170,0,0,6,7,21,28,59,94,100,90,70,47,27,21,17,14,19,10,3,0,2,2,0,0,0,11
石神井公園,176,3527,4,0,7,8,30,24,100,88,75,50,51,32,21,20,9,9,4,3,3,5,3,4,0,0,3,22
大泉学園,177,3768,1,1,5,7,33,75,100,86,71,50,50,61,35,15,22,9,10,1,1,0,0,3,1,0,0,21
保谷,178,4211,2,6,12,13,13,42,100,83,58,46,26,20,12,8,7,3,7,1,0,0,0,1,0,1,0,7
ひばりケ丘,179,3885,3,3,12,17,24,45,86,93,100,49,51,24,17,6,8,5,5,2,3,0,1,0,3,0,0,6
東久留米,180,3932,2,2,8,18,55,48,100,88,55,27,24,29,14,3,4,2,0,1,0,1,0,0,0,0,1,2
清瀬,181,3200,3,6,17,31,55,61,73,100,74,82,60,59,14,9,15,7,3,2,4,3,0,0,1,2,0,20
秋津,182,5164,0,1,2,5,12,17,41,51,100,52,40,36,7,8,3,3,2,3,3,0,0,0,1,0,0,6
新桜台,183,410,0,0,6,7,21,27,59,93,100,90,70,47,26,21,17,13,19,10,3,0,2,2,0,0,0,11
小竹向原,184,2022,1,3,1,9,19,35,93,76,97,97,100,81,34,50,19,14,9,23,13,0,0,9,18,4,2,15
豊島園,185,1151,0,0,6,7,21,27,58,94,100,90,70,47,27,21,17,13,19,9,3,0,2,2,0,0,0,11
西武新宿,186,8384,3,0,1,1,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,2,0,0,0,2,15
下落合,187,566,3,0,0,0,5,12,30,54,60,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
中井,188,2527,3,0,0,0,5,13,29,54,59,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
新井薬師前,189,984,0,0,6,7,21,27,59,94,100,89,70,47,27,21,17,13,19,9,3,0,2,2,0,0,0,11
沼袋,190,884,0,0,6,7,21,27,58,94,100,89,69,47,26,21,17,13,19,9,3,0,2,2,0,0,0,11
野方,191,1098,0,0,6,7,21,27,59,93,100,89,69,47,26,21,17,13,19,10,3,0,2,2,0,0,0,11
都立家政,192,827,0,0,6,7,21,27,59,93,100,89,70,48,26,21,17,13,19,9,3,0,2,2,0,0,0,11
鷺ノ宮,193,2228,3,0,5,0,16,26,52,100,91,41,43,21,35,61,6,4,8,21,0,21,0,2,0,1,0,32
下井草,194,969,1,1,6,18,37,48,81,86,100,78,62,52,33,23,28,14,4,5,7,4,2,2,2,1,0,27
井荻,195,781,1,1,6,18,37,48,81,87,100,77,62,53,33,23,28,14,4,5,7,4,2,2,2,1,0,27
上井草,196,827,1,1,6,18,37,48,81,87,100,77,62,52,33,23,29,14,4,5,7,4,2,2,2,1,0,27
上石神井,197,2375,0,12,6,58,34,49,37,100,68,89,45,37,20,15,3,11,4,29,7,5,0,0,0,0,4,22
武蔵関,198,1374,0,0,6,7,21,28,59,94,100,89,69,47,27,21,17,13,19,9,3,0,2,2,0,0,0,12
東伏見,199,1086,0,0,6,7,21,27,59,94,100,89,69,47,26,21,17,13,19,9,3,0,2,2,0,0,0,11
西武柳沢,200,719,0,0,6,7,21,27,58,94,100,89,69,47,26,21,17,13,19,10,3,0,2,2,0,0,0,11
田無,201,3639,3,15,3,39,51,59,100,74,52,56,56,25,19,14,10,6,12,10,9,0,0,0,0,0,0,28
花小金井,202,3479,1,2,36,19,45,43,92,100,96,53,35,34,22,9,1,12,5,12,0,0,0,0,0,0,5,17
小平,203,12148,1,1,5,15,25,32,57,40,100,21,28,11,5,2,3,2,6,4,0,3,1,7,0,1,1,7
久米川,204,1414,0,0,6,7,21,28,59,94,100,90,70,48,27,21,17,14,19,9,3,0,2,2,0,0,0,12
東村山,205,5471,3,7,3,11,21,60,67,73,87,100,19,32,22,4,6,10,12,4,5,9,1,1,0,2,2,12
西武園,206,157,0,0,6,7,21,28,58,93,100,89,70,47,26,21,17,14,19,9,3,0,2,2,0,0,0,11
萩山,207,2462,0,2,7,9,41,36,66,71,100,60,28,12,5,6,5,0,10,9,10,0,0,0,0,0,0,27
小川,208,2351,5,11,22,17,76,69,51,100,87,72,47,8,8,5,17,20,0,12,0,4,0,0,0,0,0,1
東大和市,209,1103,1,1,11,18,15,55,79,77,65,100,91,37,21,15,10,6,4,15,2,1,4,4,5,0,2,14
玉川上水,210,3864,4,5,8,23,58,50,44,100,19,40,25,17,1,4,9,7,2,8,0,0,0,0,0,0,0,4
武蔵砂川,211,518,1,1,11,18,15,55,79,77,65,100,91,37,21,15,11,6,4,15,2,1,4,4,5,0,2,14
西武立川,212,509,1,1,11,18,15,55,78,77,64,100,90,37,21,15,11,6,4,15,2,1,4,4,5,0,2,14
一橋学園,213,915,1,1,12,19,15,55,79,76,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
青梅街道,214,359,1,1,11,18,15,55,78,76,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
八坂,215,262,0,0,6,7,21,27,58,93,100,89,69,47,26,21,17,13,19,9,3,0,2,2,0,0,0,11
武蔵大和,216,319,0,0,6,7,21,27,58,94,100,89,69,47,26,21,17,13,19,10,3,0,2,2,0,0,0,11
西武遊園地,217,115,0,0,6,7,21,27,59,94,100,90,70,47,26,21,17,13,20,9,3,0,2,2,0,0,0,11
恋ケ窪,218,540,1,1,12,18,15,55,79,77,65,100,91,37,20,15,10,6,4,15,2,1,4,4,5,0,2,15
鷹の台,219,1130,1,1,11,19,15,55,79,76,64,100,90,37,20,15,10,6,4,15,3,1,4,4,5,0,3,14
新小金井,220,168,1,1,11,19,15,55,79,76,64,100,91,38,20,15,10,6,4,15,2,1,4,4,5,0,2,14
多磨,221,593,1,1,11,18,16,55,79,77,64,100,91,37,20,16,10,6,4,16,2,1,4,4,5,0,2,15
白糸台,222,265,1,1,11,18,15,55,79,76,64,100,90,37,20,15,10,6,4,15,3,1,4,4,5,0,3,14
競艇場前,223,123,1,1,11,18,15,56,78,77,65,100,91,37,21,15,10,6,4,15,2,1,4,4,5,0,2,14
