name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
多摩動物公園,283,0,0,40,78,118,266,56,64,32,176,70,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
京王片倉,284,0,32,124,158,82,0,380,160,216,0,802,12,0,0,176,0,34,0,0,0,0,0,0,0,0,0
山田,285,0,76,0,262,122,242,266,0,180,76,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
めじろ台,286,0,13,836,481,2014,650,3690,1361,1892,343,502,21,100,360,0,58,0,0,0,0,0,0,0,0,0,32
狭間,287,0,0,262,168,460,964,170,194,204,132,640,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高尾山口,288,0,0,74,56,0,376,0,434,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神泉,289,0,0,0,0,0,0,0,318,458,382,100,98,98,323,31,0,0,0,0,0,0,0,0,0,0,0
駒場東大前,290,0,36,0,40,143,707,264,353,419,900,402,710,294,190,472,82,0,72,0,0,0,0,0,0,0,392
池ノ上,291,0,0,0,0,49,223,447,603,410,613,419,188,426,323,81,81,46,44,0,46,0,0,0,0,0,0
下北沢,292,214,100,650,610,4198,4613,10120,10270,13098,15074,10676,8166,5177,4336,3225,1844,5334,2216,1595,423,217,51,0,2724,1354,3300
新代田,293,0,0,88,0,44,271,116,613,384,854,639,694,372,30,154,22,38,166,0,0,0,0,0,0,0,44
東松原,294,21,44,116,0,540,320,844,1074,1368,1012,1154,824,1307,514,178,174,101,229,0,92,0,0,0,0,0,44
永福町,295,74,58,138,0,930,1312,1298,1627,2381,1762,1345,1450,661,1148,623,44,313,487,806,344,74,0,0,292,0,754
西永福,296,42,64,0,694,1124,1075,969,1106,1159,1603,1330,1069,644,920,384,150,400,270,78,0,98,0,0,408,44,72
浜田山,297,0,0,0,243,907,1728,2147,2187,1534,1909,1597,1374,843,536,307,126,42,118,64,54,93,93,0,0,0,108
