name,st_id,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
大泉学園,177,2,0,2,2,3,7,4,8,0,4,5,27,38,19,32,93,49,70,86,50,58,100,60,64,53,38,22,48,46,35,41,76,23,36,44,19,18,10,7,14,23,15,8,3,10,13,2,17,4,1,1,1,0,2,0,0,0,1,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,41
保谷,178,4,3,8,9,1,14,17,9,12,5,4,13,9,13,6,58,55,36,100,48,59,62,41,59,26,23,18,48,20,21,15,11,12,22,18,9,1,1,9,14,6,5,7,3,2,2,3,11,8,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,3,0,0,0,14
ひばりケ丘,179,5,1,0,4,0,19,7,2,22,5,10,20,16,24,34,27,47,53,62,52,71,63,62,100,47,29,42,34,15,38,43,7,29,9,8,4,17,4,5,7,7,0,7,2,1,6,3,2,6,3,0,0,0,5,0,1,0,0,1,1,0,0,0,0,0,4,0,1,0,0,0,0,0,11
東久留米,180,3,0,3,0,5,7,5,5,17,15,51,12,31,23,21,44,100,27,47,26,63,74,34,37,41,17,23,12,10,8,24,24,18,14,15,8,5,2,3,0,4,1,2,0,0,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
清瀬,181,5,0,9,2,9,22,18,31,29,5,54,15,39,33,46,53,30,57,77,68,82,81,44,89,41,43,50,100,18,40,63,62,20,38,20,5,2,6,15,10,17,4,11,12,12,0,0,5,5,5,5,0,7,0,0,2,4,4,0,0,0,0,0,0,0,0,3,4,0,1,1,0,0,37
秋津,182,1,0,0,1,1,1,3,3,4,8,4,9,24,4,27,20,57,30,37,68,29,35,70,84,100,75,40,31,47,39,31,45,27,26,13,2,4,6,13,6,4,0,3,3,2,4,1,0,5,7,0,1,5,2,2,1,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,16
新桜台,183,0,0,0,0,0,0,0,0,12,0,0,0,0,25,0,0,35,35,0,0,16,0,0,26,0,0,14,50,0,0,18,0,100,100,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小竹向原,184,2,1,4,1,0,1,0,7,9,5,8,20,8,15,39,15,42,80,52,63,21,39,53,85,77,42,87,100,58,91,85,71,28,55,19,26,19,33,10,41,24,5,2,13,10,9,6,2,8,22,11,2,6,0,14,0,0,0,0,0,0,0,0,14,29,0,0,2,0,3,3,0,0,24
豊島園,185,0,0,17,0,0,3,12,0,3,0,0,0,10,5,5,61,100,41,34,56,37,42,3,18,39,26,14,35,23,20,0,15,10,12,5,3,30,27,0,6,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
西武新宿,186,0,0,0,0,0,0,0,0,9,0,5,0,0,7,13,16,32,28,49,19,0,38,92,2,0,0,0,18,26,9,0,0,7,0,6,26,71,0,0,6,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,23
下落合,187,0,0,6,0,0,0,0,0,0,0,0,0,12,31,29,5,24,24,20,36,25,39,43,25,30,84,4,28,31,22,15,15,58,7,7,0,5,5,58,58,14,0,0,0,0,0,5,5,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
中井,188,0,0,0,0,0,0,15,0,0,36,11,0,12,64,0,0,10,6,9,31,8,31,37,50,30,58,52,34,100,8,8,17,0,25,0,19,32,17,0,7,0,6,63,52,0,6,6,0,0,71,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
新井薬師前,189,0,11,11,0,0,0,0,0,0,0,0,32,0,9,31,0,100,25,64,16,10,23,84,38,54,27,43,52,64,12,35,84,57,21,21,8,0,0,0,0,0,0,12,0,0,0,16,0,91,0,0,0,29,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沼袋,190,4,0,0,0,0,0,0,0,3,8,0,0,21,60,88,34,26,20,26,15,29,48,39,6,24,35,28,10,39,74,78,100,32,79,60,42,0,0,11,16,4,4,12,4,4,0,7,19,12,0,16,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,4
野方,191,7,0,0,0,0,0,13,9,45,39,44,17,0,19,0,12,12,4,24,37,33,32,18,13,63,59,22,26,3,18,52,64,16,12,3,7,4,0,0,6,6,0,0,0,0,4,0,0,68,100,31,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3
都立家政,192,0,0,0,0,2,0,0,7,7,0,6,0,7,9,3,34,100,73,7,26,11,8,15,31,15,7,1,25,32,34,5,13,16,0,0,5,0,0,0,0,0,0,0,0,2,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,14,0,0,0,3
鷺ノ宮,193,5,0,0,0,0,0,8,0,1,1,5,4,20,17,3,27,27,36,35,100,42,65,99,61,33,9,37,37,45,30,7,16,8,13,14,10,41,60,53,12,2,3,5,8,0,0,0,11,3,3,24,35,0,0,0,38,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,57
下井草,194,0,0,0,6,6,5,0,63,36,0,4,0,21,14,23,23,57,60,16,8,35,23,85,100,65,7,3,14,42,32,42,18,41,51,14,17,15,3,0,0,4,0,38,41,3,0,0,0,0,0,27,27,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,56
井荻,195,0,0,0,0,0,7,0,13,0,2,16,12,12,7,5,7,20,9,70,16,70,23,33,0,42,26,20,48,100,41,6,1,3,3,3,3,3,3,13,8,10,21,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
上井草,196,9,0,0,13,48,48,11,16,5,19,24,24,0,0,0,36,73,86,94,21,41,91,91,7,71,100,23,71,55,15,19,22,77,67,0,0,0,13,13,11,11,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上石神井,197,0,3,15,2,4,8,0,4,9,82,35,7,10,5,25,46,17,19,25,40,32,100,24,47,47,84,34,44,33,22,16,33,11,12,21,10,3,8,15,11,2,1,1,0,16,1,6,0,0,13,8,32,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,34
武蔵関,198,25,0,3,0,2,0,12,7,9,0,26,7,16,6,37,5,17,53,13,54,35,51,21,100,29,42,60,5,8,52,24,24,20,20,0,4,13,2,5,6,3,3,2,0,0,42,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
東伏見,199,0,0,6,3,3,5,5,7,7,28,4,6,27,41,0,32,93,51,100,49,49,28,7,51,80,34,65,47,58,3,12,9,20,9,13,7,0,7,7,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,70
西武柳沢,200,0,0,0,0,0,57,62,22,0,29,6,18,0,7,13,18,100,8,48,61,41,23,47,61,15,27,26,4,13,29,38,3,3,0,0,7,0,0,0,0,10,10,0,0,4,4,0,0,0,2,2,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,47
田無,201,8,14,1,19,1,3,4,9,70,33,3,67,45,51,54,29,100,98,95,37,51,82,38,77,22,35,62,37,93,14,32,20,6,29,27,12,15,13,10,9,0,16,10,0,13,1,14,4,8,9,14,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,63
花小金井,202,2,1,2,0,16,6,42,8,14,19,45,62,20,27,40,33,61,68,58,59,87,79,57,41,100,47,10,44,13,15,39,12,20,31,9,9,21,9,9,7,0,0,3,8,6,7,5,0,3,2,20,16,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,7,30
小平,203,3,1,0,1,5,6,5,24,8,6,16,24,17,21,32,21,40,42,62,9,27,63,100,94,77,21,18,7,31,24,10,8,9,7,5,2,4,0,4,0,1,0,5,0,5,5,4,4,9,5,0,4,0,0,0,6,0,0,2,0,0,8,7,8,0,0,0,3,0,0,0,0,2,16
久米川,204,16,0,16,16,0,5,9,2,10,24,45,49,52,34,34,44,24,67,17,100,36,50,98,72,0,28,20,32,32,2,6,13,1,1,1,4,2,0,3,3,0,0,0,0,0,0,3,3,7,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,11
東村山,205,4,3,5,0,1,3,3,4,7,7,4,14,15,20,33,27,34,24,40,47,32,34,56,47,41,34,100,41,11,6,11,12,22,9,12,18,4,1,3,1,2,4,2,0,13,13,3,9,3,4,1,0,6,2,0,0,2,12,2,0,0,0,1,1,0,0,0,0,3,0,3,3,0,17
西武園,206,0,0,0,0,0,0,13,19,0,0,98,0,0,60,0,0,9,0,13,22,0,0,0,13,0,100,0,0,0,0,0,26,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
萩山,207,0,0,3,3,0,0,11,10,6,5,22,44,29,30,24,16,60,43,15,65,53,11,74,100,11,19,45,37,17,39,6,10,21,0,5,9,0,2,6,7,8,5,0,0,0,0,17,17,0,15,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
小川,208,9,0,8,11,8,10,23,0,12,21,29,13,90,7,100,68,22,59,61,78,53,96,46,95,98,42,56,32,32,14,39,3,2,8,7,0,7,0,5,5,4,0,26,26,0,8,0,0,0,21,21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
東大和市,209,0,14,31,31,9,15,0,26,30,12,10,57,3,57,69,43,100,26,72,72,41,0,43,35,29,29,77,52,0,4,4,0,3,3,0,20,7,0,0,24,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,3
玉川上水,210,7,5,5,0,13,1,1,8,4,30,29,73,8,39,34,25,21,17,53,19,62,100,8,16,18,34,10,29,10,35,1,5,20,6,1,1,1,5,7,0,0,9,8,12,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
武蔵砂川,211,0,0,0,14,14,0,0,17,0,4,1,0,3,3,100,3,3,1,0,87,9,1,9,2,20,4,28,0,4,4,0,0,0,0,4,0,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2
西武立川,212,0,0,0,19,0,0,8,8,0,20,20,0,0,14,14,0,12,41,81,3,3,3,10,100,100,7,0,0,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一橋学園,213,5,0,0,0,13,13,14,25,55,55,0,31,6,59,100,100,59,85,85,79,35,43,76,39,41,71,62,75,42,6,16,32,0,15,4,0,43,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,35,54,0,0,0,0,0,0,0,0,6
青梅街道,214,0,0,27,0,25,0,0,0,0,0,0,45,11,17,100,0,0,0,0,0,48,0,0,22,0,0,60,8,0,58,0,0,21,21,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八坂,215,0,0,0,0,0,11,0,0,0,0,0,0,30,0,17,87,0,0,80,0,0,84,0,0,9,0,0,100,35,0,37,0,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
武蔵大和,216,0,0,0,0,18,13,0,0,31,0,0,22,12,9,100,12,0,50,0,0,39,1,0,8,0,0,11,11,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
西武遊園地,217,0,0,0,0,0,0,0,14,14,100,10,7,23,0,7,55,10,51,0,56,6,0,0,0,0,0,18,0,0,20,0,0,28,0,0,0,0,0,0,0,0,0,0,0,73,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
恋ケ窪,218,0,0,0,0,0,0,0,7,0,25,19,15,4,4,34,36,100,22,28,72,31,0,8,35,0,5,77,28,31,6,0,9,0,0,0,0,0,0,0,13,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
