name,st_id,passengers,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
駒沢大学,339,1006,21,0,0,3,0,0,3,32,5,22,26,31,63,35,58,63,35,18,29,53,100,78,43,46,43,51,82,81,90,64,29,26,52,69,66,75,37,35,19,37,44,41,20,14,13,32,10,0,32,12,12,6,0,2,7,6,3,0,0,0,0,4,0,0,3,0,0,0,2,2,6,3,0,50
桜新町,340,1261,0,0,0,0,0,19,15,9,18,39,17,45,49,39,19,100,38,43,29,49,37,46,52,72,27,26,26,97,65,53,28,3,8,20,19,31,29,11,14,23,9,4,2,3,11,13,23,16,0,0,0,12,0,6,0,0,0,0,0,0,0,3,3,2,0,3,0,0,0,0,0,0,4,51
用賀,341,1115,3,3,3,0,21,26,28,16,35,24,39,34,52,79,39,67,69,47,17,100,47,31,82,67,43,88,76,48,38,14,43,28,13,22,27,60,34,9,12,23,0,21,17,23,5,0,0,2,2,0,0,3,0,0,2,0,10,10,0,0,0,0,0,0,0,19,19,0,0,0,0,0,2,44
二子玉川,342,3420,6,0,2,3,7,4,11,15,19,16,33,23,36,43,53,43,74,64,80,80,100,93,90,93,86,70,85,68,60,40,61,70,49,32,31,28,32,18,16,24,42,22,22,16,8,14,1,10,1,8,3,5,9,6,5,8,5,0,4,3,2,4,0,3,0,9,0,0,6,6,0,0,2,71
つくし野,343,204,3,0,0,2,1,7,19,8,17,19,9,18,12,25,32,68,63,64,76,56,74,71,54,69,51,56,72,100,96,50,75,46,15,24,12,17,22,13,8,10,14,6,3,3,7,8,1,1,6,24,12,5,0,4,0,0,2,1,4,0,3,0,3,3,3,6,8,0,0,0,3,0,1,28
すずかけ台,344,202,3,0,0,2,1,7,19,8,17,19,9,18,12,25,32,68,63,64,76,56,73,70,54,69,51,56,71,100,96,50,74,46,15,23,12,17,22,13,8,10,14,6,3,3,7,8,1,1,6,23,12,5,0,4,0,0,2,1,4,0,3,0,3,3,3,6,8,0,0,0,3,0,1,28
南町田,345,523,3,0,0,2,1,8,19,8,17,19,9,18,13,26,32,68,63,65,77,56,73,71,55,69,51,56,72,100,95,50,74,45,15,24,13,17,22,13,8,10,14,6,3,3,8,8,1,1,6,24,13,5,0,4,0,0,2,1,4,0,3,0,3,3,3,6,8,0,0,0,3,0,1,28
下神明,346,152,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,28,46,38,55,67,78,88,100,76,82,92,88,82,71,46,61,55,35,31,21,26,21,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,50
戸越公園,347,242,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,28,45,38,55,67,78,88,100,76,81,92,88,83,71,46,61,55,35,31,20,26,20,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,50
中延,348,994,4,0,0,1,0,4,4,4,9,9,11,4,21,11,17,28,45,38,55,67,78,89,100,76,81,93,89,82,71,46,61,55,35,31,21,26,21,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,3,3,0,0,1,3,0,0,0,1,0,1,1,50
荏原町,349,317,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,28,45,38,55,67,78,88,100,76,82,93,88,82,70,46,61,55,35,31,20,26,20,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,49
旗の台,350,1443,3,0,2,2,0,2,4,2,1,10,4,16,14,29,13,20,13,22,32,14,25,100,97,49,49,62,75,42,43,40,55,63,63,18,32,21,26,40,46,24,12,12,11,10,2,2,9,2,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,43
北千束,351,127,3,0,0,1,0,3,3,4,8,8,11,3,22,11,17,28,45,38,55,67,78,88,100,77,81,92,88,82,70,46,62,55,35,31,20,26,20,23,9,11,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,49
緑が丘,352,155,5,0,1,2,7,2,9,13,17,14,30,21,32,40,49,41,67,58,73,75,100,76,84,83,80,63,78,62,53,46,61,56,44,31,25,26,30,15,15,30,38,19,19,14,7,12,0,8,0,7,1,4,7,4,3,7,4,0,2,1,1,3,0,2,0,7,0,0,4,4,0,0,0,65
九品仏,353,199,5,0,1,3,7,3,9,13,17,14,31,22,32,40,49,41,67,58,73,75,100,76,84,83,80,63,77,62,53,46,61,56,44,31,26,26,31,15,15,31,38,19,19,14,7,13,0,8,0,8,1,4,8,4,4,8,4,0,3,1,1,4,0,3,0,8,0,0,4,4,0,0,0,65
尾山台,354,461,5,0,1,3,6,3,9,13,18,14,31,21,32,39,49,41,67,59,73,75,100,77,84,83,80,63,77,62,54,46,61,56,44,31,26,26,31,15,15,31,38,19,19,14,6,13,0,8,0,8,1,4,8,4,3,8,4,0,3,1,1,3,0,3,0,8,0,0,4,4,0,0,0,65
等々力,355,443,5,0,1,2,6,2,9,13,17,14,30,21,32,39,48,41,67,58,73,75,100,76,84,83,81,63,77,62,53,46,61,56,44,31,25,26,30,15,15,30,38,19,19,14,6,12,0,8,0,7,1,4,7,4,3,7,4,0,2,1,1,3,0,2,0,7,0,0,4,4,0,0,0,65
